area,count,endTime,latitude,location,longitude,provider,siteID,startTime,usmart_id
North Lanarkshire,47,2023-05-15T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-05-14T00:00:00,"8b091b1999b8c09f68823d832177aed1"
North Lanarkshire,60,2023-05-18T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-05-17T00:00:00,"40483672e9466f640e3e1f8ad8d32387"
North Lanarkshire,79,2023-05-20T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-05-19T00:00:00,"2e184bf5d53f61be1254b4492a317726"
North Lanarkshire,102,2023-05-21T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-05-20T00:00:00,"b4223d16174308c2e5af5cf3e0098cd4"
North Lanarkshire,108,2023-05-26T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-05-25T00:00:00,"28e9c024653c44b7ef5f7ba9ddd2f022"
North Lanarkshire,171,2023-05-31T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-05-30T00:00:00,"ed5f65144ba4e754a1dff144dca8601b"
Stirling,19,2023-05-04T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-05-03T00:00:00,"252f67f1e0199c3eddd14bb19754e294"
Stirling,7,2023-05-11T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-05-10T00:00:00,"cd7eafcb844dbb117020e39241e5b7dc"
Stirling,42,2023-05-22T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-05-21T00:00:00,"6f57cbb42e1a548c06597d615d07acf3"
Stirling,23,2023-05-30T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-05-29T00:00:00,"fa46312c291ec3f357fdc9ada2c073fb"
Stirling,93,2023-05-14T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-05-13T00:00:00,"d850102bd81204045651c6e06d659709"
Stirling,34,2023-05-15T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-05-14T00:00:00,"41b3dc0ff728461310d61d0a1dd332c2"
